Method,LibriSpeech_WER,LibriSpeech_CER,Earnings22_WER,Earnings22_CER
GREEDY,0.11219750672207285,0.038127997674531275,0.5496987951807228,0.25578503460207613
BEAM,0.11219750672207285,0.038127997674531275,0.5496987951807228,0.25578503460207613
SHALLOW,0.1109753116597409,0.23763383556998208,0.564156626506024,0.395977508650519
RESCORE,0.11048643363480812,0.03851557579574633,0.5545180722891566,0.25643382352941174
